participant,no_signed_duration,size,direction,correct,contrast,cond,response,log10_duration,duration,trial,session
perc002,0.04472,Small,1,1,High,control,1,-1.349498205121633,0.2236,26,1
perc002,0.04472,Small,1,1,High,control,1,-1.349498205121633,0.2236,27,1
perc002,0.027144,Small,1,1,High,control,1,-1.5663261533629387,0.13572,28,1
perc002,0.027144,Small,1,1,High,control,1,-1.5663261533629387,0.13572,29,1
perc002,0.027144,Large,1,0,High,control,0,-1.5663261533629387,0.13572,30,1
perc002,0.2,Small,-1,1,High,control,0,-0.6989700043360187,-1,31,1
perc002,0.04472,Large,1,1,High,control,1,-1.349498205121633,0.2236,32,1
perc002,0.07368,Large,-1,1,Low,control,0,-1.1326503828112076,-0.36839999999999995,33,1
perc002,0.027144,Small,1,1,Low,control,1,-1.5663261533629387,0.13572,34,1
perc002,0.027144,Large,-1,1,High,control,0,-1.5663261533629387,-0.13572,35,1
perc002,0.2,Large,-1,1,Low,control,0,-0.6989700043360187,-1,36,1
perc002,0.01648,Small,1,1,Low,control,1,-1.783042792638903,0.0824,37,1
perc002,0.12139,Large,1,1,High,control,1,-0.9158170885795264,0.60695,38,1
perc002,0.12139,Large,1,1,Low,control,1,-0.9158170885795264,0.60695,39,1
perc002,0.027144,Large,1,0,High,control,0,-1.5663261533629387,0.13572,40,1
perc002,0.12139,Small,1,1,Low,control,1,-0.9158170885795264,0.60695,41,1
perc002,0.2,Small,1,1,High,control,1,-0.6989700043360187,1,42,1
perc002,0.07368,Small,1,0,Low,control,0,-1.1326503828112076,0.36839999999999995,43,1
perc002,0.12139,Small,1,1,Low,control,1,-0.9158170885795264,0.60695,44,1
perc002,0.04472,Small,1,1,Low,control,1,-1.349498205121633,0.2236,45,1
perc002,0.027144,Small,-1,0,Low,control,1,-1.5663261533629387,-0.13572,46,1
perc002,0.2,Large,1,1,High,control,1,-0.6989700043360187,1,47,1
perc002,0.027144,Small,1,0,Low,control,0,-1.5663261533629387,0.13572,48,1
perc002,0.027144,Small,1,1,High,control,1,-1.5663261533629387,0.13572,49,1
perc002,0.01648,Small,-1,1,High,control,0,-1.783042792638903,-0.0824,50,1
perc002,0.07368,Large,-1,1,Low,control,0,-1.1326503828112076,-0.36839999999999995,51,1
perc002,0.2,Small,-1,1,Low,control,0,-0.6989700043360187,-1,52,1
perc002,0.07368,Large,1,1,Low,control,1,-1.1326503828112076,0.36839999999999995,53,1
